source_row,event_time,return_time,ack_time,site,area,unit,tag,description,priority,state,value,threshold,engineering_unit,source_system,operator
12,2026-01-15T08:00:20+08:00,,,SYNTHETIC_SITE_02,SYNTHETIC_AREA_01,SYNTHETIC_UNIT_05,SYN-01-004,合成报警：循环水流量波动，已请求现场核对,P3,ACTIVE,88.01,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_DCS,
13,2026-01-15T08:00:22+08:00,,,SYNTHETIC_SITE_02,SYNTHETIC_AREA_04,SYNTHETIC_UNIT_05,SYN-01-004,[SYNTHETIC] 中文与 English 混合描述，用于验证较长文本在页面和报告中的显示一致性,P4,ACTIVE,69.20,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_SCADA,合成操作员05
14,2026-01-15T08:20:00+08:00,,,SYNTHETIC_SITE_02,SYNTHETIC_AREA_04,SYNTHETIC_UNIT_03,SYN-02-001,合成报警：同一信号重复上送,P2,ACTIVE,50.00,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_DCS,合成操作员06
15,2026-01-15T08:20:05+08:00,,,SYNTHETIC_SITE_02,SYNTHETIC_AREA_04,SYNTHETIC_UNIT_03,SYN-02-001,合成报警：同一信号重复上送,P2,ACTIVE,50.00,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_SCADA,合成操作员07
16,2026-01-15T08:20:20+08:00,,,SYNTHETIC_SITE_01,SYNTHETIC_AREA_02,SYNTHETIC_UNIT_01,SYN-02-002,合成报警：同一信号重复上送,P2,ACTIVE,51.00,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_DCS,合成操作员01
17,2026-01-15T08:20:25+08:00,,,SYNTHETIC_SITE_01,SYNTHETIC_AREA_02,SYNTHETIC_UNIT_01,SYN-02-002,合成报警：同一信号重复上送,P2,ACTIVE,51.00,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_SCADA,
18,2026-01-15T08:20:40+08:00,,,SYNTHETIC_SITE_02,SYNTHETIC_AREA_03,SYNTHETIC_UNIT_03,SYN-02-003,合成报警：同一信号重复上送,P2,ACTIVE,52.00,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_DCS,合成操作员03
19,2026-01-15T08:20:45+08:00,,,SYNTHETIC_SITE_02,SYNTHETIC_AREA_03,SYNTHETIC_UNIT_03,SYN-02-003,合成报警：同一信号重复上送,P2,ACTIVE,52.00,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_SCADA,合成操作员04
20,2026-01-15T08:21:00+08:00,,,SYNTHETIC_SITE_01,SYNTHETIC_AREA_01,SYNTHETIC_UNIT_06,SYN-02-004,合成报警：同一信号重复上送,P2,ACTIVE,53.00,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_DCS,合成操作员05
21,2026-01-15T08:21:05+08:00,,,SYNTHETIC_SITE_01,SYNTHETIC_AREA_01,SYNTHETIC_UNIT_06,SYN-02-004,合成报警：同一信号重复上送,P2,ACTIVE,53.00,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_SCADA,合成操作员06
22,2026-01-15T08:21:20+08:00,,,SYNTHETIC_SITE_02,SYNTHETIC_AREA_03,SYNTHETIC_UNIT_02,SYN-02-005,合成报警：同一信号重复上送,P2,ACTIVE,54.00,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_DCS,
23,2026-01-15T08:21:25+08:00,,,SYNTHETIC_SITE_02,SYNTHETIC_AREA_03,SYNTHETIC_UNIT_02,SYN-02-005,合成报警：同一信号重复上送,P2,ACTIVE,54.00,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_SCADA,合成操作员01
24,2026-01-15T08:21:40+08:00,,,SYNTHETIC_SITE_01,SYNTHETIC_AREA_03,SYNTHETIC_UNIT_02,SYN-02-006,合成报警：同一信号重复上送,P2,ACTIVE,55.00,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_DCS,合成操作员02
25,2026-01-15T08:21:45+08:00,,,SYNTHETIC_SITE_01,SYNTHETIC_AREA_03,SYNTHETIC_UNIT_02,SYN-02-006,合成报警：同一信号重复上送,P2,ACTIVE,55.00,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_SCADA,合成操作员03
26,2026-01-15T08:40:00+08:00,,,SYNTHETIC_SITE_01,SYNTHETIC_AREA_02,SYNTHETIC_UNIT_01,SYN-03-001,合成报警：开关信号在短窗口内往返,P1,ACTIVE,81.42,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_DCS,合成操作员04
27,2026-01-15T08:40:03+08:00,2026-01-15T08:40:05+08:00,,SYNTHETIC_SITE_01,SYNTHETIC_AREA_02,SYNTHETIC_UNIT_01,SYN-03-001,合成报警：开关信号在短窗口内往返,P2,RETURNED,64.15,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_SCADA,
28,2026-01-15T08:40:06+08:00,,,SYNTHETIC_SITE_01,SYNTHETIC_AREA_02,SYNTHETIC_UNIT_01,SYN-03-001,合成报警：开关信号在短窗口内往返,P3,ACTIVE,85.33,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_DCS,合成操作员06
29,2026-01-15T08:40:09+08:00,2026-01-15T08:40:11+08:00,,SYNTHETIC_SITE_01,SYNTHETIC_AREA_02,SYNTHETIC_UNIT_01,SYN-03-001,合成报警：开关信号在短窗口内往返,P4,RETURNED,73.31,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_SCADA,合成操作员07
30,2026-01-15T08:40:12+08:00,,,SYNTHETIC_SITE_01,SYNTHETIC_AREA_02,SYNTHETIC_UNIT_01,SYN-03-001,合成报警：开关信号在短窗口内往返,P1,ACTIVE,54.02,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_DCS,合成操作员01
31,2026-01-15T08:40:15+08:00,2026-01-15T08:40:17+08:00,,SYNTHETIC_SITE_01,SYNTHETIC_AREA_02,SYNTHETIC_UNIT_01,SYN-03-001,合成报警：开关信号在短窗口内往返,P2,RETURNED,51.07,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_SCADA,合成操作员02
32,2026-01-15T08:40:18+08:00,,,SYNTHETIC_SITE_01,SYNTHETIC_AREA_02,SYNTHETIC_UNIT_01,SYN-03-002,合成报警：开关信号在短窗口内往返,P3,ACTIVE,70.87,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_DCS,
33,2026-01-15T08:40:21+08:00,2026-01-15T08:40:23+08:00,,SYNTHETIC_SITE_01,SYNTHETIC_AREA_02,SYNTHETIC_UNIT_01,SYN-03-002,合成报警：开关信号在短窗口内往返,P4,RETURNED,60.58,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_SCADA,合成操作员04
34,2026-01-15T08:40:24+08:00,,,SYNTHETIC_SITE_01,SYNTHETIC_AREA_02,SYNTHETIC_UNIT_01,SYN-03-002,合成报警：开关信号在短窗口内往返,P1,ACTIVE,53.54,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_DCS,合成操作员05
35,2026-01-15T08:40:27+08:00,2026-01-15T08:40:29+08:00,,SYNTHETIC_SITE_01,SYNTHETIC_AREA_02,SYNTHETIC_UNIT_01,SYN-03-002,合成报警：开关信号在短窗口内往返,P2,RETURNED,83.81,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_SCADA,合成操作员06
36,2026-01-15T08:40:30+08:00,,,SYNTHETIC_SITE_01,SYNTHETIC_AREA_02,SYNTHETIC_UNIT_02,SYN-03-002,合成报警：开关信号在短窗口内往返,P3,ACTIVE,61.07,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_DCS,合成操作员07
37,2026-01-15T08:40:33+08:00,2026-01-15T08:40:35+08:00,,SYNTHETIC_SITE_01,SYNTHETIC_AREA_02,SYNTHETIC_UNIT_02,SYN-03-002,合成报警：开关信号在短窗口内往返,P4,RETURNED,81.69,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_SCADA,
38,2026-01-15T09:06:36+08:00,2026-01-15T09:06:40+08:00,2026-01-15T09:06:37+08:00,SYNTHETIC_SITE_02,SYNTHETIC_AREA_03,SYNTHETIC_UNIT_06,SYN-04-001,[SYNTHETIC] 中文与 English 混合描述，用于验证较长文本在页面和报告中的显示一致性,P1,RETURNED,72.68,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_DCS,合成操作员02
39,2026-01-15T09:06:47+08:00,2026-01-15T09:06:51+08:00,2026-01-15T09:06:48+08:00,SYNTHETIC_SITE_01,SYNTHETIC_AREA_02,SYNTHETIC_UNIT_03,SYN-04-001,合成报警：入口压力偏高,P2,RETURNED,49.18,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_SCADA,合成操作员03
40,2026-01-15T09:06:58+08:00,2026-01-15T09:07:02+08:00,2026-01-15T09:06:59+08:00,SYNTHETIC_SITE_01,SYNTHETIC_AREA_04,SYNTHETIC_UNIT_01,SYN-04-001,[SYNTHETIC] Outlet temperature deviation observed,P3,RETURNED,72.95,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_DCS,合成操作员04
41,2026-01-15T09:07:09+08:00,2026-01-15T09:07:13+08:00,2026-01-15T09:07:10+08:00,SYNTHETIC_SITE_02,SYNTHETIC_AREA_02,SYNTHETIC_UNIT_06,SYN-04-002,合成报警：循环水流量波动，已请求现场核对,P4,RETURNED,71.11,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_SCADA,合成操作员05
42,2026-01-15T09:07:20+08:00,2026-01-15T09:07:24+08:00,2026-01-15T09:07:21+08:00,SYNTHETIC_SITE_02,SYNTHETIC_AREA_01,SYNTHETIC_UNIT_05,SYN-04-002,[SYNTHETIC] 中文与 English 混合描述，用于验证较长文本在页面和报告中的显示一致性,P1,RETURNED,63.66,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_DCS,
43,2026-01-15T09:07:31+08:00,2026-01-15T09:07:35+08:00,2026-01-15T09:07:32+08:00,SYNTHETIC_SITE_01,SYNTHETIC_AREA_02,SYNTHETIC_UNIT_04,SYN-04-002,合成报警：入口压力偏高,P2,RETURNED,88.09,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_SCADA,合成操作员07
44,2026-01-15T09:07:42+08:00,2026-01-15T09:07:46+08:00,2026-01-15T09:07:43+08:00,SYNTHETIC_SITE_01,SYNTHETIC_AREA_01,SYNTHETIC_UNIT_02,SYN-04-003,[SYNTHETIC] Outlet temperature deviation observed,P3,RETURNED,83.02,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_DCS,合成操作员01
45,2026-01-15T09:07:53+08:00,2026-01-15T09:07:57+08:00,2026-01-15T09:07:54+08:00,SYNTHETIC_SITE_02,SYNTHETIC_AREA_01,SYNTHETIC_UNIT_02,SYN-04-003,合成报警：循环水流量波动，已请求现场核对,P4,RETURNED,66.54,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_SCADA,合成操作员02
46,2026-01-15T09:08:04+08:00,2026-01-15T09:08:08+08:00,2026-01-15T09:08:05+08:00,SYNTHETIC_SITE_02,SYNTHETIC_AREA_03,SYNTHETIC_UNIT_03,SYN-04-003,[SYNTHETIC] 中文与 English 混合描述，用于验证较长文本在页面和报告中的显示一致性,P1,RETURNED,53.21,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_DCS,合成操作员03
47,2026-01-15T09:08:15+08:00,2026-01-15T09:08:19+08:00,2026-01-15T09:08:16+08:00,SYNTHETIC_SITE_01,SYNTHETIC_AREA_02,SYNTHETIC_UNIT_04,SYN-04-004,合成报警：入口压力偏高,P2,RETURNED,58.03,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_SCADA,
48,2026-01-15T09:08:26+08:00,2026-01-15T09:08:30+08:00,2026-01-15T09:08:27+08:00,SYNTHETIC_SITE_01,SYNTHETIC_AREA_01,SYNTHETIC_UNIT_02,SYN-04-004,[SYNTHETIC] Outlet temperature deviation observed,P3,RETURNED,67.55,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_DCS,合成操作员05
49,2026-01-15T09:08:37+08:00,2026-01-15T09:08:41+08:00,2026-01-15T09:08:38+08:00,SYNTHETIC_SITE_02,SYNTHETIC_AREA_04,SYNTHETIC_UNIT_03,SYN-04-004,合成报警：循环水流量波动，已请求现场核对,P4,RETURNED,60.98,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_SCADA,合成操作员06
50,2026-01-15T09:08:48+08:00,,2026-01-15T09:09:48+08:00,SYNTHETIC_SITE_01,SYNTHETIC_AREA_04,SYNTHETIC_UNIT_02,SYN-05-001,合成报警：入口压力偏高,P1,ACTIVE,85.21,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_DCS,合成操作员07
51,2026-01-15T09:08:59+08:00,,2026-01-15T09:09:59+08:00,SYNTHETIC_SITE_01,SYNTHETIC_AREA_01,SYNTHETIC_UNIT_05,SYN-05-001,[SYNTHETIC] Outlet temperature deviation observed,P1,ACTIVE,61.35,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_SCADA,合成操作员01
52,2026-01-15T09:09:10+08:00,,2026-01-15T09:10:10+08:00,SYNTHETIC_SITE_02,SYNTHETIC_AREA_03,SYNTHETIC_UNIT_05,SYN-05-001,合成报警：循环水流量波动，已请求现场核对,P1,ACTIVE,69.93,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_DCS,
53,2026-01-15T09:09:21+08:00,,2026-01-15T09:10:21+08:00,SYNTHETIC_SITE_01,SYNTHETIC_AREA_01,,SYN-05-002,[SYNTHETIC] 中文与 English 混合描述，用于验证较长文本在页面和报告中的显示一致性,P1,ACTIVE,83.67,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_SCADA,合成操作员03
54,2026-01-15T09:09:32+08:00,,2026-01-15T09:10:32+08:00,SYNTHETIC_SITE_02,SYNTHETIC_AREA_01,SYNTHETIC_UNIT_01,SYN-05-002,合成报警：入口压力偏高,P1,ACTIVE,76.17,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_DCS,合成操作员04
55,2026-01-15T09:09:43+08:00,,2026-01-15T09:10:43+08:00,SYNTHETIC_SITE_01,SYNTHETIC_AREA_04,SYNTHETIC_UNIT_02,SYN-05-002,[SYNTHETIC] Outlet temperature deviation observed,P1,ACTIVE,81.86,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_SCADA,合成操作员05
56,2026-01-15T09:09:54+08:00,,2026-01-15T09:10:54+08:00,SYNTHETIC_SITE_01,SYNTHETIC_AREA_01,SYNTHETIC_UNIT_03,SYN-05-003,合成报警：循环水流量波动，已请求现场核对,P1,ACTIVE,65.15,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_DCS,合成操作员06
57,2026-01-15T09:10:05+08:00,,2026-01-15T09:11:05+08:00,SYNTHETIC_SITE_02,SYNTHETIC_AREA_04,SYNTHETIC_UNIT_02,SYN-05-003,[SYNTHETIC] 中文与 English 混合描述，用于验证较长文本在页面和报告中的显示一致性,P1,ACTIVE,61.88,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_SCADA,
58,2026-01-15T09:10:16+08:00,,2026-01-15T09:11:16+08:00,SYNTHETIC_SITE_02,SYNTHETIC_AREA_01,SYNTHETIC_UNIT_03,SYN-05-003,合成报警：入口压力偏高,P1,ACTIVE,76.07,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_DCS,合成操作员01
59,2026-01-15T09:10:27+08:00,,2026-01-15T09:11:27+08:00,SYNTHETIC_SITE_02,SYNTHETIC_AREA_01,SYNTHETIC_UNIT_04,SYN-05-004,[SYNTHETIC] Outlet temperature deviation observed,P1,ACTIVE,43.05,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_SCADA,合成操作员02
60,2026-01-15T09:10:38+08:00,,2026-01-15T09:11:38+08:00,SYNTHETIC_SITE_02,SYNTHETIC_AREA_03,SYNTHETIC_UNIT_04,SYN-05-004,合成报警：循环水流量波动，已请求现场核对,P1,ACTIVE,83.72,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_DCS,合成操作员03
61,2026-01-15T09:10:49+08:00,,2026-01-15T09:11:49+08:00,SYNTHETIC_SITE_02,SYNTHETIC_AREA_02,SYNTHETIC_UNIT_05,SYN-05-004,[SYNTHETIC] 中文与 English 混合描述，用于验证较长文本在页面和报告中的显示一致性,P1,ACTIVE,70.83,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_SCADA,合成操作员04
62,2026-01-15T10:00:00+08:00,,,SYNTHETIC_SITE_01,SYNTHETIC_AREA_03,SYNTHETIC_UNIT_05,SYN-06-001,[SYNTHETIC] Outlet temperature deviation observed,P2,ACTIVE,86.75,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_DCS,
63,2026-01-15T10:00:11+08:00,,,SYNTHETIC_SITE_01,SYNTHETIC_AREA_03,SYNTHETIC_UNIT_05,SYN-06-001,合成报警：循环水流量波动，已请求现场核对,P2,ACTIVE,78.78,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_SCADA,合成操作员06
64,2026-01-15T10:00:22+08:00,,,SYNTHETIC_SITE_01,SYNTHETIC_AREA_03,SYNTHETIC_UNIT_05,SYN-06-001,[SYNTHETIC] 中文与 English 混合描述，用于验证较长文本在页面和报告中的显示一致性,P2,ACTIVE,60.91,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_DCS,合成操作员07
65,2026-01-15T10:00:33+08:00,,,SYNTHETIC_SITE_01,SYNTHETIC_AREA_03,SYNTHETIC_UNIT_05,SYN-06-002,合成报警：入口压力偏高,P1,ACTIVE,54.09,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_SCADA,合成操作员01
66,2026-01-15T10:00:44+08:00,,,SYNTHETIC_SITE_01,SYNTHETIC_AREA_03,SYNTHETIC_UNIT_05,SYN-06-002,[SYNTHETIC] Outlet temperature deviation observed,P1,ACTIVE,70.38,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_DCS,合成操作员02
67,2026-01-15T10:02:00+08:00,,,SYNTHETIC_SITE_01,SYNTHETIC_AREA_03,SYNTHETIC_UNIT_05,SYN-06-002,合成报警：循环水流量波动，已请求现场核对,P2,ACTIVE,47.37,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_SCADA,
68,2026-01-15T10:02:11+08:00,,,SYNTHETIC_SITE_01,SYNTHETIC_AREA_03,SYNTHETIC_UNIT_05,SYN-06-003,[SYNTHETIC] 中文与 English 混合描述，用于验证较长文本在页面和报告中的显示一致性,P2,ACTIVE,44.80,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_DCS,合成操作员04
69,2026-01-15T10:02:22+08:00,,,SYNTHETIC_SITE_01,SYNTHETIC_AREA_03,SYNTHETIC_UNIT_05,SYN-06-003,合成报警：入口压力偏高,P2,ACTIVE,77.74,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_SCADA,合成操作员05
70,2026-01-15T10:02:33+08:00,,,SYNTHETIC_SITE_01,SYNTHETIC_AREA_03,SYNTHETIC_UNIT_05,SYN-06-003,[SYNTHETIC] Outlet temperature deviation observed,P1,ACTIVE,64.94,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_DCS,合成操作员06
71,2026-01-15T10:02:44+08:00,,,SYNTHETIC_SITE_01,SYNTHETIC_AREA_03,SYNTHETIC_UNIT_05,SYN-06-004,合成报警：循环水流量波动，已请求现场核对,P1,ACTIVE,63.26,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_SCADA,合成操作员07
72,2026-01-15T10:04:00+08:00,,,SYNTHETIC_SITE_01,SYNTHETIC_AREA_03,SYNTHETIC_UNIT_05,SYN-06-004,[SYNTHETIC] 中文与 English 混合描述，用于验证较长文本在页面和报告中的显示一致性,P2,ACTIVE,51.74,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_DCS,
73,2026-01-15T10:04:11+08:00,,,SYNTHETIC_SITE_01,SYNTHETIC_AREA_03,SYNTHETIC_UNIT_05,SYN-06-004,合成报警：入口压力偏高,P2,ACTIVE,41.55,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_SCADA,合成操作员02
74,2026-01-15T09:13:12+08:00,,,SYNTHETIC_SITE_01,SYNTHETIC_AREA_02,SYNTHETIC_UNIT_02,SYN-07-001,合成报警：循环水流量波动，已请求现场核对,P1,ACTIVE,60.00,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_DCS,合成操作员03
75,2026-01-15T09:13:23+08:00,,,SYNTHETIC_SITE_02,SYNTHETIC_AREA_02,SYNTHETIC_UNIT_01,SYN-07-001,[SYNTHETIC] 中文与 English 混合描述，用于验证较长文本在页面和报告中的显示一致性,P2,ACTIVE,60.75,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_SCADA,合成操作员04
76,2026-01-15T09:13:34+08:00,,,SYNTHETIC_SITE_02,SYNTHETIC_AREA_02,SYNTHETIC_UNIT_01,SYN-07-001,合成报警：入口压力偏高,P3,ACTIVE,61.50,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_DCS,合成操作员05
77,2026-01-15T09:13:45+08:00,,,SYNTHETIC_SITE_01,SYNTHETIC_AREA_01,SYNTHETIC_UNIT_06,SYN-07-002,[SYNTHETIC] Outlet temperature deviation observed,P4,ACTIVE,62.25,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_SCADA,
78,2026-01-15T09:13:56+08:00,,,SYNTHETIC_SITE_02,SYNTHETIC_AREA_01,SYNTHETIC_UNIT_01,SYN-07-002,合成报警：循环水流量波动，已请求现场核对,P1,ACTIVE,63.00,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_DCS,合成操作员07
79,2026-01-15T09:14:07+08:00,,,SYNTHETIC_SITE_01,SYNTHETIC_AREA_03,SYNTHETIC_UNIT_02,SYN-07-002,[SYNTHETIC] 中文与 English 混合描述，用于验证较长文本在页面和报告中的显示一致性,P2,ACTIVE,63.75,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_SCADA,合成操作员01
80,2026-01-15T09:14:18+08:00,,,SYNTHETIC_SITE_01,SYNTHETIC_AREA_01,SYNTHETIC_UNIT_01,SYN-07-003,合成报警：入口压力偏高,P3,ACTIVE,64.50,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_DCS,合成操作员02
81,2026-01-15T09:14:29+08:00,,,SYNTHETIC_SITE_02,SYNTHETIC_AREA_03,SYNTHETIC_UNIT_02,SYN-07-003,[SYNTHETIC] Outlet temperature deviation observed,P4,ACTIVE,65.25,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_SCADA,合成操作员03
82,2026-01-15T09:14:40+08:00,,,SYNTHETIC_SITE_01,SYNTHETIC_AREA_04,SYNTHETIC_UNIT_02,SYN-07-003,合成报警：循环水流量波动，已请求现场核对,P1,ACTIVE,66.00,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_DCS,
83,2026-01-15T09:14:51+08:00,,,SYNTHETIC_SITE_02,SYNTHETIC_AREA_02,SYNTHETIC_UNIT_06,SYN-07-004,[SYNTHETIC] 中文与 English 混合描述，用于验证较长文本在页面和报告中的显示一致性,P2,ACTIVE,66.75,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_SCADA,合成操作员05
84,2026-01-15T09:15:02+08:00,,,SYNTHETIC_SITE_02,SYNTHETIC_AREA_04,SYNTHETIC_UNIT_06,SYN-07-004,合成报警：入口压力偏高,P3,ACTIVE,67.50,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_DCS,合成操作员06
85,2026-01-15T09:15:13+08:00,,,SYNTHETIC_SITE_01,SYNTHETIC_AREA_01,SYNTHETIC_UNIT_05,SYN-07-004,[SYNTHETIC] Outlet temperature deviation observed,P4,ACTIVE,68.25,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_SCADA,合成操作员07
86,2026-01-15T12:00:00+08:00,,,SYNTHETIC_SITE_02,SYNTHETIC_AREA_04,SYNTHETIC_UNIT_06,SYN-08-001,[SYNTHETIC] 中文与 English 混合描述，用于验证较长文本在页面和报告中的显示一致性,P1,ACTIVE,84.06,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_DCS,合成操作员01
87,2026-01-15T12:00:11+08:00,,,SYNTHETIC_SITE_02,SYNTHETIC_AREA_04,SYNTHETIC_UNIT_06,SYN-08-001,合成报警：入口压力偏高,P2,ACTIVE,46.19,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_SCADA,
