"source_row"	"event_time"	"return_time"	"ack_time"	"site"	"area"	"unit"	"tag"	"description"	"priority"	"state"	"value"	"threshold"	"engineering_unit"	"source_system"	"operator"
"12"	"2026-01-15T08:00:20+08:00"	""	""	"SYNTHETIC_SITE_02"	"SYNTHETIC_AREA_01"	"SYNTHETIC_UNIT_05"	"SYNTHETIC-ALARM_FLOOD-002"	"[SYNTHETIC] ALARM_FLOOD 合成报警场景"	"P3"	"ACTIVE"	"88.01"	"75.00"	"SYNTHETIC_UNIT_VALUE"	"SYNTHETIC_DCS"	"SYNTHETIC_OPERATOR_01"
"13"	"2026-01-15T08:00:22+08:00"	""	""	"SYNTHETIC_SITE_02"	"SYNTHETIC_AREA_04"	"SYNTHETIC_UNIT_05"	"SYNTHETIC-ALARM_FLOOD-014"	"[SYNTHETIC] ALARM_FLOOD 合成报警场景"	"P4"	"ACTIVE"	"69.20"	"75.00"	"SYNTHETIC_UNIT_VALUE"	"SYNTHETIC_DCS"	""
"14"	"2026-01-15T08:00:24+08:00"	""	""	"SYNTHETIC_SITE_02"	"SYNTHETIC_AREA_02"	"SYNTHETIC_UNIT_05"	"SYNTHETIC-ALARM_FLOOD-007"	"[SYNTHETIC] ALARM_FLOOD 合成报警场景"	"P1"	"ACTIVE"	"84.57"	"75.00"	"SYNTHETIC_UNIT_VALUE"	"SYNTHETIC_DCS"	"SYNTHETIC_OPERATOR_03"
"15"	"2026-01-15T08:00:26+08:00"	""	""	"SYNTHETIC_SITE_01"	"SYNTHETIC_AREA_01"	"SYNTHETIC_UNIT_06"	"SYNTHETIC-ALARM_FLOOD-021"	"[SYNTHETIC] ALARM_FLOOD 合成报警场景"	"P2"	"ACTIVE"	"43.57"	"75.00"	"SYNTHETIC_UNIT_VALUE"	"SYNTHETIC_DCS"	"SYNTHETIC_OPERATOR_04"
"16"	"2026-01-15T08:00:28+08:00"	""	""	"SYNTHETIC_SITE_01"	"SYNTHETIC_AREA_01"	"SYNTHETIC_UNIT_04"	"SYNTHETIC-ALARM_FLOOD-009"	"[SYNTHETIC] ALARM_FLOOD 合成报警场景"	"P3"	"ACTIVE"	"67.96"	"75.00"	"SYNTHETIC_UNIT_VALUE"	"SYNTHETIC_DCS"	"SYNTHETIC_OPERATOR_05"
"17"	"2026-01-15T08:00:30+08:00"	""	""	"SYNTHETIC_SITE_01"	"SYNTHETIC_AREA_04"	"SYNTHETIC_UNIT_01"	"SYNTHETIC-ALARM_FLOOD-021"	"[SYNTHETIC] ALARM_FLOOD 合成报警场景"	"P4"	"ACTIVE"	"51.89"	"75.00"	"SYNTHETIC_UNIT_VALUE"	"SYNTHETIC_DCS"	"SYNTHETIC_OPERATOR_01"
"18"	"2026-01-15T08:00:32+08:00"	""	""	"SYNTHETIC_SITE_02"	"SYNTHETIC_AREA_01"	"SYNTHETIC_UNIT_02"	"SYNTHETIC-ALARM_FLOOD-001"	"[SYNTHETIC] ALARM_FLOOD 合成报警场景"	"P1"	"ACTIVE"	"80.07"	"75.00"	"SYNTHETIC_UNIT_VALUE"	"SYNTHETIC_DCS"	"SYNTHETIC_OPERATOR_02"
"19"	"2026-01-15T08:00:34+08:00"	""	""	"SYNTHETIC_SITE_01"	"SYNTHETIC_AREA_04"	""	"SYNTHETIC-ALARM_FLOOD-011"	"[SYNTHETIC] ALARM_FLOOD 合成报警场景"	"P2"	"ACTIVE"	"72.93"	"75.00"	"SYNTHETIC_UNIT_VALUE"	"SYNTHETIC_DCS"	"SYNTHETIC_OPERATOR_03"
"20"	"2026-01-15T08:00:36+08:00"	""	""	"SYNTHETIC_SITE_02"	"SYNTHETIC_AREA_03"	"SYNTHETIC_UNIT_03"	"SYNTHETIC-ALARM_FLOOD-005"	"[SYNTHETIC] ALARM_FLOOD 合成报警场景"	"P3"	"ACTIVE"	"58.82"	"75.00"	"SYNTHETIC_UNIT_VALUE"	"SYNTHETIC_DCS"	"SYNTHETIC_OPERATOR_04"
"21"	"2026-01-15T08:00:38+08:00"	""	""	"SYNTHETIC_SITE_02"	"SYNTHETIC_AREA_03"	"SYNTHETIC_UNIT_03"	"SYNTHETIC-ALARM_FLOOD-013"	"[SYNTHETIC] ALARM_FLOOD 合成报警场景"	"P4"	"ACTIVE"	"65.10"	"75.00"	"SYNTHETIC_UNIT_VALUE"	"SYNTHETIC_DCS"	"SYNTHETIC_OPERATOR_05"
"22"	"2026-01-15T08:00:40+08:00"	""	""	"SYNTHETIC_SITE_01"	"SYNTHETIC_AREA_01"	"SYNTHETIC_UNIT_02"	"SYNTHETIC-ALARM_FLOOD-010"	"[SYNTHETIC] ALARM_FLOOD 合成报警场景"	"P1"	"ACTIVE"	"50.38"	"75.00"	"SYNTHETIC_UNIT_VALUE"	"SYNTHETIC_DCS"	"SYNTHETIC_OPERATOR_01"
"23"	"2026-01-15T08:00:42+08:00"	""	""	"SYNTHETIC_SITE_02"	"SYNTHETIC_AREA_04"	"SYNTHETIC_UNIT_06"	"SYNTHETIC-ALARM_FLOOD-013"	"[SYNTHETIC] ALARM_FLOOD 合成报警场景"	"P2"	"ACTIVE"	"51.73"	"75.00"	"SYNTHETIC_UNIT_VALUE"	"SYNTHETIC_DCS"	"SYNTHETIC_OPERATOR_02"
"24"	"2026-01-15T08:00:44+08:00"	""	""	"SYNTHETIC_SITE_02"	"SYNTHETIC_AREA_01"	"SYNTHETIC_UNIT_06"	"SYNTHETIC-ALARM_FLOOD-013"	"[SYNTHETIC] ALARM_FLOOD 合成报警场景"	"P3"	"ACTIVE"	"87.01"	"75.00"	"SYNTHETIC_UNIT_VALUE"	"SYNTHETIC_DCS"	""
"25"	"2026-01-15T08:00:46+08:00"	""	""	"SYNTHETIC_SITE_01"	"SYNTHETIC_AREA_03"	"SYNTHETIC_UNIT_01"	"SYNTHETIC-ALARM_FLOOD-001"	"[SYNTHETIC] ALARM_FLOOD 合成报警场景"	"P4"	"ACTIVE"	"69.91"	"75.00"	"SYNTHETIC_UNIT_VALUE"	"SYNTHETIC_DCS"	"SYNTHETIC_OPERATOR_04"
"26"	"2026-01-15T08:00:48+08:00"	""	""	"SYNTHETIC_SITE_02"	"SYNTHETIC_AREA_04"	"SYNTHETIC_UNIT_05"	"SYNTHETIC-ALARM_FLOOD-019"	"[SYNTHETIC] ALARM_FLOOD 合成报警场景"	"P1"	"ACTIVE"	"81.42"	"75.00"	"SYNTHETIC_UNIT_VALUE"	"SYNTHETIC_DCS"	"SYNTHETIC_OPERATOR_05"
"27"	"2026-01-15T08:00:50+08:00"	""	""	"SYNTHETIC_SITE_02"	"SYNTHETIC_AREA_04"	"SYNTHETIC_UNIT_02"	"SYNTHETIC-ALARM_FLOOD-021"	"[SYNTHETIC] ALARM_FLOOD 合成报警场景"	"P2"	"ACTIVE"	"64.15"	"75.00"	"SYNTHETIC_UNIT_VALUE"	"SYNTHETIC_DCS"	"SYNTHETIC_OPERATOR_01"
"28"	"2026-01-15T08:00:52+08:00"	""	""	"SYNTHETIC_SITE_01"	"SYNTHETIC_AREA_01"	"SYNTHETIC_UNIT_04"	"SYNTHETIC-ALARM_FLOOD-002"	"[SYNTHETIC] ALARM_FLOOD 合成报警场景"	"P3"	"ACTIVE"	"85.33"	"75.00"	"SYNTHETIC_UNIT_VALUE"	"SYNTHETIC_DCS"	"SYNTHETIC_OPERATOR_02"
"29"	"2026-01-15T08:00:54+08:00"	""	""	"SYNTHETIC_SITE_02"	"SYNTHETIC_AREA_03"	"SYNTHETIC_UNIT_02"	"SYNTHETIC-ALARM_FLOOD-020"	"[SYNTHETIC] ALARM_FLOOD 合成报警场景"	"P4"	"ACTIVE"	"73.31"	"75.00"	"SYNTHETIC_UNIT_VALUE"	"SYNTHETIC_DCS"	"SYNTHETIC_OPERATOR_03"
"30"	"2026-01-15T08:00:56+08:00"	""	""	"SYNTHETIC_SITE_01"	"SYNTHETIC_AREA_03"	"SYNTHETIC_UNIT_04"	"SYNTHETIC-ALARM_FLOOD-010"	"[SYNTHETIC] ALARM_FLOOD 合成报警场景"	"P1"	"ACTIVE"	"54.02"	"75.00"	"SYNTHETIC_UNIT_VALUE"	"SYNTHETIC_DCS"	"SYNTHETIC_OPERATOR_04"
"31"	"2026-01-15T08:00:58+08:00"	""	""	"SYNTHETIC_SITE_01"	"SYNTHETIC_AREA_04"	"SYNTHETIC_UNIT_03"	"SYNTHETIC-ALARM_FLOOD-002"	"[SYNTHETIC] ALARM_FLOOD 合成报警场景"	"P2"	"ACTIVE"	"51.07"	"75.00"	"SYNTHETIC_UNIT_VALUE"	"SYNTHETIC_DCS"	"SYNTHETIC_OPERATOR_05"
"32"	"2026-01-15T08:01:00+08:00"	""	""	"SYNTHETIC_SITE_01"	"SYNTHETIC_AREA_02"	"SYNTHETIC_UNIT_01"	"SYNTHETIC-ALARM_FLOOD-024"	"[SYNTHETIC] ALARM_FLOOD 合成报警场景"	"P3"	"ACTIVE"	"70.87"	"75.00"	"SYNTHETIC_UNIT_VALUE"	"SYNTHETIC_DCS"	"SYNTHETIC_OPERATOR_01"
"33"	"2026-01-15T08:01:02+08:00"	""	""	"SYNTHETIC_SITE_02"	"SYNTHETIC_AREA_04"	"SYNTHETIC_UNIT_03"	"SYNTHETIC-ALARM_FLOOD-015"	"[SYNTHETIC] ALARM_FLOOD 合成报警场景"	"P4"	"ACTIVE"	"60.58"	"75.00"	"SYNTHETIC_UNIT_VALUE"	"SYNTHETIC_DCS"	"SYNTHETIC_OPERATOR_02"
"34"	"2026-01-15T08:01:04+08:00"	""	""	"SYNTHETIC_SITE_01"	"SYNTHETIC_AREA_02"	"SYNTHETIC_UNIT_02"	"SYNTHETIC-ALARM_FLOOD-016"	"[SYNTHETIC] ALARM_FLOOD 合成报警场景"	"P1"	"ACTIVE"	"53.54"	"75.00"	"SYNTHETIC_UNIT_VALUE"	"SYNTHETIC_DCS"	"SYNTHETIC_OPERATOR_03"
"35"	"2026-01-15T08:01:06+08:00"	""	""	"SYNTHETIC_SITE_02"	"SYNTHETIC_AREA_02"	"SYNTHETIC_UNIT_05"	"SYNTHETIC-ALARM_FLOOD-017"	"[SYNTHETIC] ALARM_FLOOD 合成报警场景"	"P2"	"ACTIVE"	"83.81"	"75.00"	"SYNTHETIC_UNIT_VALUE"	"SYNTHETIC_DCS"	""
"36"	"2026-01-15T08:01:08+08:00"	""	""	"SYNTHETIC_SITE_01"	"SYNTHETIC_AREA_04"	""	"SYNTHETIC-ALARM_FLOOD-001"	"[SYNTHETIC] ALARM_FLOOD 合成报警场景"	"P3"	"ACTIVE"	"61.07"	"75.00"	"SYNTHETIC_UNIT_VALUE"	"SYNTHETIC_DCS"	"SYNTHETIC_OPERATOR_05"
"37"	"2026-01-15T08:01:10+08:00"	""	""	"SYNTHETIC_SITE_02"	"SYNTHETIC_AREA_04"	"SYNTHETIC_UNIT_03"	"SYNTHETIC-ALARM_FLOOD-002"	"[SYNTHETIC] ALARM_FLOOD 合成报警场景"	"P4"	"ACTIVE"	"81.69"	"75.00"	"SYNTHETIC_UNIT_VALUE"	"SYNTHETIC_DCS"	"SYNTHETIC_OPERATOR_01"
"38"	"2026-01-15T08:01:12+08:00"	""	""	"SYNTHETIC_SITE_02"	"SYNTHETIC_AREA_03"	"SYNTHETIC_UNIT_06"	"SYNTHETIC-ALARM_FLOOD-020"	"[SYNTHETIC] ALARM_FLOOD 合成报警场景"	"P1"	"ACTIVE"	"72.68"	"75.00"	"SYNTHETIC_UNIT_VALUE"	"SYNTHETIC_DCS"	"SYNTHETIC_OPERATOR_02"
"39"	"2026-01-15T08:01:14+08:00"	""	""	"SYNTHETIC_SITE_01"	"SYNTHETIC_AREA_02"	"SYNTHETIC_UNIT_03"	"SYNTHETIC-ALARM_FLOOD-015"	"[SYNTHETIC] ALARM_FLOOD 合成报警场景"	"P2"	"ACTIVE"	"49.18"	"75.00"	"SYNTHETIC_UNIT_VALUE"	"SYNTHETIC_DCS"	"SYNTHETIC_OPERATOR_03"
"40"	"2026-01-15T08:01:16+08:00"	""	""	"SYNTHETIC_SITE_01"	"SYNTHETIC_AREA_04"	"SYNTHETIC_UNIT_01"	"SYNTHETIC-ALARM_FLOOD-013"	"[SYNTHETIC] ALARM_FLOOD 合成报警场景"	"P3"	"ACTIVE"	"72.95"	"75.00"	"SYNTHETIC_UNIT_VALUE"	"SYNTHETIC_DCS"	"SYNTHETIC_OPERATOR_04"
"41"	"2026-01-15T08:01:18+08:00"	""	""	"SYNTHETIC_SITE_02"	"SYNTHETIC_AREA_02"	"SYNTHETIC_UNIT_06"	"SYNTHETIC-ALARM_FLOOD-003"	"[SYNTHETIC] ALARM_FLOOD 合成报警场景"	"P4"	"ACTIVE"	"71.11"	"75.00"	"SYNTHETIC_UNIT_VALUE"	"SYNTHETIC_DCS"	"SYNTHETIC_OPERATOR_05"
"42"	"2026-01-15T08:01:20+08:00"	""	""	"SYNTHETIC_SITE_02"	"SYNTHETIC_AREA_01"	"SYNTHETIC_UNIT_05"	"SYNTHETIC-ALARM_FLOOD-010"	"[SYNTHETIC] ALARM_FLOOD 合成报警场景"	"P1"	"ACTIVE"	"63.66"	"75.00"	"SYNTHETIC_UNIT_VALUE"	"SYNTHETIC_DCS"	"SYNTHETIC_OPERATOR_01"
"43"	"2026-01-15T08:01:22+08:00"	""	""	"SYNTHETIC_SITE_01"	"SYNTHETIC_AREA_02"	"SYNTHETIC_UNIT_04"	"SYNTHETIC-ALARM_FLOOD-007"	"[SYNTHETIC] ALARM_FLOOD 合成报警场景"	"P2"	"ACTIVE"	"88.09"	"75.00"	"SYNTHETIC_UNIT_VALUE"	"SYNTHETIC_DCS"	"SYNTHETIC_OPERATOR_02"
"44"	"2026-01-15T08:01:24+08:00"	""	""	"SYNTHETIC_SITE_01"	"SYNTHETIC_AREA_01"	"SYNTHETIC_UNIT_02"	"SYNTHETIC-ALARM_FLOOD-012"	"[SYNTHETIC] ALARM_FLOOD 合成报警场景"	"P3"	"ACTIVE"	"83.02"	"75.00"	"SYNTHETIC_UNIT_VALUE"	"SYNTHETIC_DCS"	"SYNTHETIC_OPERATOR_03"
"45"	"2026-01-15T08:01:26+08:00"	""	""	"SYNTHETIC_SITE_02"	"SYNTHETIC_AREA_01"	"SYNTHETIC_UNIT_02"	"SYNTHETIC-ALARM_FLOOD-005"	"[SYNTHETIC] ALARM_FLOOD 合成报警场景"	"P4"	"ACTIVE"	"66.54"	"75.00"	"SYNTHETIC_UNIT_VALUE"	"SYNTHETIC_DCS"	"SYNTHETIC_OPERATOR_04"
"46"	"2026-01-15T08:01:28+08:00"	""	""	"SYNTHETIC_SITE_02"	"SYNTHETIC_AREA_03"	"SYNTHETIC_UNIT_03"	"SYNTHETIC-ALARM_FLOOD-005"	"[SYNTHETIC] ALARM_FLOOD 合成报警场景"	"P1"	"ACTIVE"	"53.21"	"75.00"	"SYNTHETIC_UNIT_VALUE"	"SYNTHETIC_DCS"	""
"47"	"2026-01-15T08:01:30+08:00"	""	""	"SYNTHETIC_SITE_01"	"SYNTHETIC_AREA_02"	"SYNTHETIC_UNIT_04"	"SYNTHETIC-ALARM_FLOOD-002"	"[SYNTHETIC] ALARM_FLOOD 合成报警场景"	"P2"	"ACTIVE"	"58.03"	"75.00"	"SYNTHETIC_UNIT_VALUE"	"SYNTHETIC_DCS"	"SYNTHETIC_OPERATOR_01"
"48"	"2026-01-15T08:01:32+08:00"	""	""	"SYNTHETIC_SITE_01"	"SYNTHETIC_AREA_01"	"SYNTHETIC_UNIT_02"	"SYNTHETIC-ALARM_FLOOD-014"	"[SYNTHETIC] ALARM_FLOOD 合成报警场景"	"P3"	"ACTIVE"	"67.55"	"75.00"	"SYNTHETIC_UNIT_VALUE"	"SYNTHETIC_DCS"	"SYNTHETIC_OPERATOR_02"
"49"	"2026-01-15T08:01:34+08:00"	""	""	"SYNTHETIC_SITE_02"	"SYNTHETIC_AREA_04"	"SYNTHETIC_UNIT_03"	"SYNTHETIC-ALARM_FLOOD-014"	"[SYNTHETIC] ALARM_FLOOD 合成报警场景"	"P4"	"ACTIVE"	"60.98"	"75.00"	"SYNTHETIC_UNIT_VALUE"	"SYNTHETIC_DCS"	"SYNTHETIC_OPERATOR_03"
"50"	"2026-01-15T08:01:36+08:00"	""	""	"SYNTHETIC_SITE_01"	"SYNTHETIC_AREA_04"	"SYNTHETIC_UNIT_02"	"SYNTHETIC-ALARM_FLOOD-015"	"[SYNTHETIC] ALARM_FLOOD 合成报警场景"	"P1"	"ACTIVE"	"85.21"	"75.00"	"SYNTHETIC_UNIT_VALUE"	"SYNTHETIC_DCS"	"SYNTHETIC_OPERATOR_04"
"51"	"2026-01-15T08:01:38+08:00"	""	""	"SYNTHETIC_SITE_01"	"SYNTHETIC_AREA_01"	"SYNTHETIC_UNIT_05"	"SYNTHETIC-ALARM_FLOOD-004"	"[SYNTHETIC] ALARM_FLOOD 合成报警场景"	"P2"	"ACTIVE"	"61.35"	"75.00"	"SYNTHETIC_UNIT_VALUE"	"SYNTHETIC_DCS"	"SYNTHETIC_OPERATOR_05"
"52"	"2026-01-15T08:01:40+08:00"	""	""	"SYNTHETIC_SITE_02"	"SYNTHETIC_AREA_03"	"SYNTHETIC_UNIT_05"	"SYNTHETIC-ALARM_FLOOD-021"	"[SYNTHETIC] ALARM_FLOOD 合成报警场景"	"P3"	"ACTIVE"	"69.93"	"75.00"	"SYNTHETIC_UNIT_VALUE"	"SYNTHETIC_DCS"	"SYNTHETIC_OPERATOR_01"
"53"	"2026-01-15T08:01:42+08:00"	""	""	"SYNTHETIC_SITE_01"	"SYNTHETIC_AREA_01"	""	"SYNTHETIC-ALARM_FLOOD-014"	"[SYNTHETIC] ALARM_FLOOD 合成报警场景"	"P4"	"ACTIVE"	"83.67"	"75.00"	"SYNTHETIC_UNIT_VALUE"	"SYNTHETIC_DCS"	"SYNTHETIC_OPERATOR_02"
"54"	"2026-01-15T08:01:44+08:00"	""	""	"SYNTHETIC_SITE_02"	"SYNTHETIC_AREA_01"	"SYNTHETIC_UNIT_01"	"SYNTHETIC-ALARM_FLOOD-018"	"[SYNTHETIC] ALARM_FLOOD 合成报警场景"	"P1"	"ACTIVE"	"76.17"	"75.00"	"SYNTHETIC_UNIT_VALUE"	"SYNTHETIC_DCS"	"SYNTHETIC_OPERATOR_03"
"55"	"2026-01-15T08:01:46+08:00"	""	""	"SYNTHETIC_SITE_01"	"SYNTHETIC_AREA_04"	"SYNTHETIC_UNIT_02"	"SYNTHETIC-ALARM_FLOOD-011"	"[SYNTHETIC] ALARM_FLOOD 合成报警场景"	"P2"	"ACTIVE"	"81.86"	"75.00"	"SYNTHETIC_UNIT_VALUE"	"SYNTHETIC_DCS"	"SYNTHETIC_OPERATOR_04"
"56"	"2026-01-15T08:01:48+08:00"	""	""	"SYNTHETIC_SITE_01"	"SYNTHETIC_AREA_01"	"SYNTHETIC_UNIT_03"	"SYNTHETIC-ALARM_FLOOD-004"	"[SYNTHETIC] ALARM_FLOOD 合成报警场景"	"P3"	"ACTIVE"	"65.15"	"75.00"	"SYNTHETIC_UNIT_VALUE"	"SYNTHETIC_DCS"	"SYNTHETIC_OPERATOR_05"
"57"	"2026-01-15T08:01:50+08:00"	""	""	"SYNTHETIC_SITE_02"	"SYNTHETIC_AREA_04"	"SYNTHETIC_UNIT_02"	"SYNTHETIC-ALARM_FLOOD-014"	"[SYNTHETIC] ALARM_FLOOD 合成报警场景"	"P4"	"ACTIVE"	"61.88"	"75.00"	"SYNTHETIC_UNIT_VALUE"	"SYNTHETIC_DCS"	""
"58"	"2026-01-15T08:01:52+08:00"	""	""	"SYNTHETIC_SITE_02"	"SYNTHETIC_AREA_01"	"SYNTHETIC_UNIT_03"	"SYNTHETIC-ALARM_FLOOD-005"	"[SYNTHETIC] ALARM_FLOOD 合成报警场景"	"P1"	"ACTIVE"	"76.07"	"75.00"	"SYNTHETIC_UNIT_VALUE"	"SYNTHETIC_DCS"	"SYNTHETIC_OPERATOR_02"
"59"	"2026-01-15T08:01:54+08:00"	""	""	"SYNTHETIC_SITE_02"	"SYNTHETIC_AREA_01"	"SYNTHETIC_UNIT_04"	"SYNTHETIC-ALARM_FLOOD-003"	"[SYNTHETIC] ALARM_FLOOD 合成报警场景"	"P2"	"ACTIVE"	"43.05"	"75.00"	"SYNTHETIC_UNIT_VALUE"	"SYNTHETIC_DCS"	"SYNTHETIC_OPERATOR_03"
"60"	"2026-01-15T08:01:56+08:00"	""	""	"SYNTHETIC_SITE_02"	"SYNTHETIC_AREA_03"	"SYNTHETIC_UNIT_04"	"SYNTHETIC-ALARM_FLOOD-020"	"[SYNTHETIC] ALARM_FLOOD 合成报警场景"	"P3"	"ACTIVE"	"83.72"	"75.00"	"SYNTHETIC_UNIT_VALUE"	"SYNTHETIC_DCS"	"SYNTHETIC_OPERATOR_04"
"61"	"2026-01-15T08:01:58+08:00"	""	""	"SYNTHETIC_SITE_02"	"SYNTHETIC_AREA_02"	"SYNTHETIC_UNIT_05"	"SYNTHETIC-ALARM_FLOOD-001"	"[SYNTHETIC] ALARM_FLOOD 合成报警场景"	"P4"	"ACTIVE"	"70.83"	"75.00"	"SYNTHETIC_UNIT_VALUE"	"SYNTHETIC_DCS"	"SYNTHETIC_OPERATOR_05"
"62"	"2026-01-15T08:20:00+08:00"	""	""	"SYNTHETIC_SITE_02"	"SYNTHETIC_AREA_04"	"SYNTHETIC_UNIT_03"	"SYNTHETIC-DUPLICATE-001"	"[SYNTHETIC] DUPLICATE 合成报警场景"	"P2"	"ACTIVE"	"50.00"	"75.00"	"SYNTHETIC_UNIT_VALUE"	"SYNTHETIC_DCS"	"SYNTHETIC_OPERATOR_01"
"63"	"2026-01-15T08:20:00+08:00"	""	""	"SYNTHETIC_SITE_02"	"SYNTHETIC_AREA_04"	"SYNTHETIC_UNIT_03"	"SYNTHETIC-DUPLICATE-001"	"[SYNTHETIC] DUPLICATE 合成报警场景"	"P2"	"ACTIVE"	"50.00"	"75.00"	"SYNTHETIC_UNIT_VALUE"	"SYNTHETIC_DCS"	"SYNTHETIC_OPERATOR_01"
"64"	"2026-01-15T08:20:20+08:00"	""	""	"SYNTHETIC_SITE_01"	"SYNTHETIC_AREA_02"	"SYNTHETIC_UNIT_01"	"SYNTHETIC-DUPLICATE-002"	"[SYNTHETIC] DUPLICATE 合成报警场景"	"P2"	"ACTIVE"	"51.00"	"75.00"	"SYNTHETIC_UNIT_VALUE"	"SYNTHETIC_DCS"	"SYNTHETIC_OPERATOR_02"
"65"	"2026-01-15T08:20:20+08:00"	""	""	"SYNTHETIC_SITE_01"	"SYNTHETIC_AREA_02"	"SYNTHETIC_UNIT_01"	"SYNTHETIC-DUPLICATE-002"	"[SYNTHETIC] DUPLICATE 合成报警场景"	"P2"	"ACTIVE"	"51.00"	"75.00"	"SYNTHETIC_UNIT_VALUE"	"SYNTHETIC_DCS"	"SYNTHETIC_OPERATOR_02"
"66"	"2026-01-15T08:20:40+08:00"	""	""	"SYNTHETIC_SITE_02"	"SYNTHETIC_AREA_03"	"SYNTHETIC_UNIT_03"	"SYNTHETIC-DUPLICATE-003"	"[SYNTHETIC] DUPLICATE 合成报警场景"	"P2"	"ACTIVE"	"52.00"	"75.00"	"SYNTHETIC_UNIT_VALUE"	"SYNTHETIC_DCS"	"SYNTHETIC_OPERATOR_03"
